"Years","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"        Rhode Island (Items)",,,,,,,,,,,,,,,,,,,,"213","91","81","84","120","0","0","45","23","27","41","27","0","132","57","30","14",,,
"        South Carolina (Items)",,,,,,,,,,,,,,,,,,,,"30945","2913","23584","14436","14682","17064","15751","7663","7568","16141","10202","7082","8312","3800","3804","11041","9939",,,
"        South Dakota (Items)",,,,,,,,,,,,,,,,,,,,"30679","34471","1465","15926","237807","78013","8936","10056","12461","97230","274606","4475","13127","72985","81561","77386","5027",,,
"        Tennessee (Items)",,,,,,,,,,,,,,,,,,,,"14993","8140","15080","22857","36479","48699","23431","18704","22149","13812","19948","7080","156391","8478","88038","6949","3763",,,
"        Texas (Items)",,,,,,,,,,,,,,,,,,,,"35044","46827","24328","158520","1564170","36304","1570586","753261","210320","2722623","179602","10743","131138","184418","356680","734682","569811",,,
"        Utah (Items)",,,,,,,,,,,,,,,,,,,,"237427","115994","76654","313932","340572","620730","28490","112753","64781","62783","415267","70282","28255","10203","101096","249829","438983",,,
"        Vermont (Items)",,,,,,,,,,,,,,,,,,,,"214","102","244","574","232","230","168","192","86","14","405","281","91","346","386","50","113",,,
"        Virginia (Items)",,,,,,,,,,,,,,,,,,,,"23344","3743","5587","5337","19989","15019","40653","8002","8369","20114","46481","4418","10446","6574","41441","20194","15224",,,
"        Washington (Items)",,,,,,,,,,,,,,,,,,,,"92742","200517","92617","185748","410060","214925","147264","77250","56820","17480","259526","152603","386972","1137664","293717","404223","438833.7",,,
"        West Virginia (Items)",,,,,,,,,,,,,,,,,,,,"8681","8094","6007","2762","15480","7149","10296","13591","14701","2680","6703","8577","8286","219","443","6866","6370",,,
"        Wisconsin (Items)",,,,,,,,,,,,,,,,,,,,"2273","6069","2385","6311","2287","4713","1050","3746","2224","719","2880","9196","3268","2970","695","661","1678",,,
"        Wyoming (Items)",,,,,,,,,,,,,,,,,,,,"124823","94514","13021","368","202301","340","36941","23123","80382","135878","357117","44016","7836","35652","218077","90115","279242.7",,,

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"National Interagency Fire Center","Historical Wildland Fire Information, Wildland Fires and Acres","","https://www.nifc.gov/fireInfo/fireInfo_statistics.html","https://www.nifc.gov/fireInfo/fireInfo_stats_totalFires.html","2020","Yearly"
"Exported on: 11/06/2022"
